Class2019,Vegetation,BuiltUp,Water,Fields
Vegetation,539548.278431373,31190.63921568628,9802.835294117647,31747.533333333333
BuiltUp,124298.81960784316,310249.47058823536,2468.9843137254898,57605.62745098037
Water,9647.082352941175,2449.321568627451,24951.65098039216,1173.529411764706
Fields,73416.76470588235,103569.26666666663,870.6078431372549,1190154.474509803
