Class2021,Vegetation,BuiltUp,Water,Fields
Vegetation,539548.278431373,124298.81960784316,9647.082352941175,73416.76470588235
BuiltUp,31190.63921568628,310249.47058823536,2449.321568627451,103569.26666666663
Water,9802.835294117647,2468.9843137254898,24951.65098039216,870.6078431372549
Fields,31747.533333333333,57605.62745098037,1173.529411764706,1190154.474509803
